주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주차면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 시간(분 단위),버스 추가 단위 요금,일 최대 요금,위도,경도
1013181,마장동(건물) 공영주차장(구),성동구 마장동 463-2,NW,노외 주차장,1,시간제 주차장,02-2204-7970,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),52,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2023-06-28 13:25,N,무료,N,무료,20000,,50,5,,,0,0,0,0,,,
1025695,영등포여고 공영(구),영등포구 신길동 184-3,NW,노외 주차장,1,시간제 주차장,02-2677-1401,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),98,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2023-06-30 15:53,N,무료,N,무료,65000,,50,5,50,5,0,0,0,0,0,,
1025696,당산근린공원 공영(구),영등포구 당산동3가 385-0,NW,노외 주차장,1,시간제 주차장,02-2677-1401,0,미연계중,190,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2023-06-30 15:22,N,무료,N,무료,100000,,150,5,150,5,0,0,0,0,0,,
1025697,대림운동장(구),영등포구 대림동 780-0,NW,노외 주차장,1,시간제 주차장,02-2677-1401,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),192,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2023-06-30 15:39,N,무료,N,무료,65000,,50,5,50,5,0,0,0,0,,,
1032247,은평평화공원지하 공영주차장(구),은평구 녹번동 153-1,NW,노외 주차장,1,시간제 주차장,02-350-5183,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),66,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2025-06-19 18:25,N,무료,N,무료,120000,,150,5,150,5,0,0,0,0,,,
1033125,압구정 428 공영주차장(구),강남구 압구정동 428-0,NW,노외 주차장,1,시간제 주차장,02-2176-0971,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),344,Y,유료,N,야간 미개방,0900,2100,0900,2100,0900,2100,2020-07-07 18:25,N,무료,N,무료,200000,,400,5,400,5,0,0,0,0,,,
1033754,포이초교 공영주차장(구),강남구 개포동 1273-0,NW,노외 주차장,1,시간제 주차장,02-3423-6403,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),189,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2020-07-08 18:09,N,무료,N,무료,120000,,200,5,200,5,0,0,0,0,,,
1037932,구로디지털단지역 공영주차장(시),구로구 구로동 810-3,NW,노외 주차장,1,시간제 주차장,02-2290-6034,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),91,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2026-04-06 17:19,N,무료,N,무료,168000,,320,5,320,5,0,0,0,0,0,37.48543179,126.9012433
1040225,논현로22길(구),강남구 개포동 1266-0,NW,노외 주차장,1,시간제 주차장,02-3423-6403,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),86,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2024-08-27 19:06,N,무료,N,무료,120000,,200,5,200,5,0,0,0,0,,,
1041839,신당동 공영주차장(구),중구 신당동 300-6,NW,노외 주차장,1,시간제 주차장,02-2280-8360,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),75,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2025-05-13 16:45,N,무료,N,무료,175000,,250,5,250,5,0,0,0,0,0,,
1041840,남산동 공영주차장(구),중구 남산동2가 30-4,NW,노외 주차장,1,시간제 주차장,02-2280-8360,2,20~120분이내 연계데이터 존재(정보수집중),48,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2025-05-13 16:43,N,무료,N,무료,240000,,300,5,300,5,0,0,0,0,0,,
1042402,역삼1문화센터 공영주차장(구),강남구 역삼동 829-20,NW,노외 주차장,1,시간제 주차장,02-3423-6403,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),115,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2020-07-07 18:15,N,무료,N,무료,280000,,400,5,400,5,0,0,0,0,,,
1042405,언북초교 공영주차장(구),강남구 청담동 27-0,NW,노외 주차장,1,시간제 주차장,02-3423-6403,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),220,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2020-07-08 10:55,N,무료,N,무료,180000,,300,5,300,5,0,0,0,0,,,
1042406,삼성1문화센터 공영주차장(구),강남구 삼성동 161-2,NW,노외 주차장,1,시간제 주차장,02-3423-6403,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),68,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2020-07-07 18:19,N,무료,N,무료,280000,,400,5,400,5,0,0,0,0,,,
1042410,논현초교 공영주차장(구),강남구 논현동 168-0,NW,노외 주차장,1,시간제 주차장,02-3423-6403,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),186,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2020-07-08 11:14,N,무료,N,무료,180000,,300,5,300,5,0,0,0,0,,,
1042421,언주초 공영주차장(구),강남구 도곡동 922-0,NW,노외 주차장,1,시간제 주차장,02-3423-6403,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),203,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2020-07-08 18:22,N,무료,N,무료,120000,,200,5,200,5,0,0,0,0,,,
1051043,구파발역 공영주차장(시),은평구 진관동 70-1,NW,노외 주차장,1,시간제 주차장,02-2290-6088,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),399,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2026-04-08 18:04,N,무료,N,무료,109000,,240,5,240,5,0,0,0,0,0,37.638209,126.918987
1052723,살곶이(평면) 공영주차장(구),성동구 사근동 104-0,NW,노외 주차장,1,시간제 주차장,02-2204-7970,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),203,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2025-02-13 16:03,N,무료,N,무료,,,50,5,,,0,0,0,0,,,
1052741,마장축산물시장(건물) 공영주차장(구),성동구 마장동 525-1,NW,노외 주차장,1,시간제 주차장,02-2204-7970,2,20~120분이내 연계데이터 존재(정보수집중),107,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2023-06-28 13:29,N,무료,N,무료,30000,,250,5,,,0,0,0,0,,,
1053712,볏골공원 지하공영주차장(구),강서구 화곡동 98-99,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2065-1575,0,미연계중,219,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2025-07-16 10:52,N,무료,N,무료,60000,,100,5,100,5,0,0,0,0,,,
1140909,잠원동 방음언덕형 공영주차장(구),서초구 잠원동 10-33,NW,노외 주차장,1,시간제 주차장,070-7119-3701,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),92,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2026-06-17 17:32,N,무료,N,무료,120000,,150,5,150,5,0,0,0,0,0,,
1140911,반포서래 공영주차장(구),서초구 반포동 95-13,NW,노외 주차장,1,시간제 주차장,02-1588-5783,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),7,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,2026-06-12 18:25,N,무료,N,무료,,,150,5,150,5,0,0,0,0,,,
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48964379,126.9259545
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48968198,126.9256947
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48773442,126.9312163
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48804535,126.9314412
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48809036,126.9313431
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48695963,126.9329544
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48685341,126.9331906
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48800038,126.9315393
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48968909,126.9256334
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48756582,126.9315934
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48687558,126.9331415
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48895446,126.9294606
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.4884149,126.9306418
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48758782,126.9315441
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48893304,126.92951
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48806796,126.9313923
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48877237,126.9298501
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48843885,126.9305924
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48741271,126.9328983
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48811293,126.9312942
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48881637,126.9297514
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48750347,126.9326947
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48848513,126.9304936
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48719836,126.9324243
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48794759,126.9307471
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48745265,126.9318469
1163833,봉천복개3 공영주차장(시),관악구 신림동 1467-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,2026-04-07 11:09,N,무료,Y,유료,162000,1.16201E+12,220,5,220,5,0,0,0,0,,37.48802277,126.9314901
